offeringID,product_key,SupplierKey,product_name,long_description,unit_retail,Supplier_name
02a2a5fd00b24bb39aa274235cc9746f,77bb36d4c76b43ecacf373bb9bbb0682,81706db084874876864c51e5355db6c2,"Steel Fugit Siding","Aut consequatur accusantium perferendis sit voluptatem. Perferendis sit consequatur accusantium aut voluptatem. Accusantium consequatur aut sit voluptatem perferendis. Aut accusantium voluptatem sit perferendis consequatur. Sit perferendis voluptatem consequatur aut accusantium.",15.3737984180,"DoloremqueAut & Sons"
03c275eb6c9c4fbb846decc719c5ae69,8f34a8a7bf8f4697b543ae1b77201862,5c2cfd0fd5774ce3bd064405bf111623,"Useful Quasi Tool","Aut sit voluptatem perferendis consequatur accusantium. Aut accusantium voluptatem sit perferendis consequatur. Accusantium aut voluptatem sit consequatur perferendis. Consequatur sit aut perferendis voluptatem accusantium. Consequatur perferendis sit accusantium voluptatem aut. Sit aut perferendis consequatur voluptatem accusantium. Aut sit consequatur accusantium voluptatem perferendis. Perferendis accusantium sit voluptatem consequatur aut. Perferendis voluptatem consequatur accusantium sit aut.",23.9280399818,"NequeOdit Inc."
0423cba1f1f443b0a0384b9ecf2542ff,19ec40e5453a401db5cb76616cec3e15,e3d118b9c1ac4ff7a957916a2333464d,"Multiple Nam Kit","Voluptatem sit perferendis aut consequatur accusantium. Perferendis aut consequatur sit accusantium voluptatem. Consequatur accusantium sit aut perferendis voluptatem. Sit consequatur aut accusantium voluptatem perferendis. Perferendis accusantium aut voluptatem sit consequatur. Aut sit consequatur voluptatem perferendis accusantium.",46.3114749953,"DignissimosAspernatur & Sons"
05a6b1465cc042af81b159f69e4ac8db,e2b6eab623cc432396309711c9e7318d,96dca214d0be49e49a2f2ba815f4e439,"Multiple Nobis Kit","Sit voluptatem accusantium aut consequatur perferendis. Consequatur sit aut voluptatem perferendis accusantium. Perferendis voluptatem consequatur aut accusantium sit. Voluptatem accusantium perferendis sit consequatur aut. Accusantium perferendis voluptatem aut consequatur sit. Aut accusantium perferendis consequatur voluptatem sit. Aut accusantium voluptatem sit perferendis consequatur. Aut sit consequatur accusantium voluptatem perferendis.",104.3493818011,"EumIn CO."
064f27db7bab4783a12263ae8bcd040c,1f53b7eecac941d2b71122e6f708dfe8,722d92d84abd452aa7b24003cb2fba84,"Wooden Sint Fencing","Perferendis voluptatem sit accusantium aut consequatur.",20.9783572310,"EarumEa Company"
0664aeda046241528087cc2762aebefd,4d9d6316aba24f93a36e1402d633eed9,f9e018aebdf94f4fba6e30ac36217fb1,"Steel Adipisci Siding","Accusantium sit aut perferendis consequatur voluptatem. Consequatur sit aut accusantium perferendis voluptatem. Voluptatem perferendis accusantium consequatur aut sit. Voluptatem perferendis sit accusantium consequatur aut. Aut sit perferendis voluptatem consequatur accusantium. Accusantium aut perferendis consequatur sit voluptatem. Consequatur aut sit voluptatem accusantium perferendis. Accusantium consequatur perferendis aut voluptatem sit.",8.0520319126,"MolestiaeQuae & Sons"
06bc8b3275ba4af5a45eff1345ff2a3b,f97258f7570e4270a5f7ba3a44799ea2,5e48dcb5015d45868186a143fddd2345,"Wooden Porro Fencing","Perferendis voluptatem consequatur aut sit accusantium. Voluptatem consequatur aut sit accusantium perferendis. Voluptatem accusantium aut sit consequatur perferendis. Perferendis aut sit voluptatem accusantium consequatur. Perferendis sit consequatur voluptatem accusantium aut. Consequatur aut accusantium sit perferendis voluptatem. Consequatur accusantium voluptatem aut perferendis sit. Consequatur voluptatem aut sit perferendis accusantium.",10.7587126587,"CumAccusamus CO."
0cf6c6ad83d34195beea6c6376d2fa06,76c93ccd8cd54d64aad961e4ca8722bb,3a645667c7664ed582308cbea27257d5,"Multiple Aliquam Kit","Accusantium voluptatem aut perferendis consequatur sit. Aut consequatur sit perferendis accusantium voluptatem.",6.4011895623,"ReiciendisCulpa CO."
103e18d44e8a498cbb8a062cef98073a,30a8106a342244b6a6e59370fc1d793f,9809da542cc04a26ae863628d5b10a9d,"Heavy Sequi Bucket","Aut accusantium consequatur voluptatem perferendis sit. Perferendis sit voluptatem accusantium aut consequatur. Accusantium perferendis voluptatem sit aut consequatur. Aut consequatur sit accusantium perferendis voluptatem.",4.6969185965,"RemLaudantium Inc."
1193be38feeb4ce2bf31bb9500525fd2,ce382ecd59ed4b8598f319e61ad9f6e5,c5b46c022ced47cc9459e51066ef1429,"Heavy Odio Bucket","Aut consequatur accusantium perferendis sit voluptatem. Aut sit voluptatem consequatur accusantium perferendis. Perferendis accusantium sit consequatur voluptatem aut.",26.2325474563,"UndeVel Supplier"
